Route,Year,Aou,SpeciesTotal
1,1982,7660,1
1,1983,2010,1
1,1983,2890,14
1,1983,3160,11
1,1983,3390,1
1,1983,3870,7
1,1983,3930,1
1,1983,3940,2
1,1983,4050,4
1,1983,4060,2
1,1983,4090,7
1,1983,4120,1
1,1983,4280,1
1,1983,4520,5
1,1983,4610,1
1,1983,4650,2
1,1983,4770,28
1,1983,4880,33
1,1983,4900,4
1,1983,4930,1
1,1983,4950,5
1,1983,4980,17
1,1983,5010,14
1,1983,5060,22
1,1983,5070,2
1,1983,5110,15
1,1983,5870,19
1,1983,5930,63
1,1983,5970,5
1,1983,5980,10
1,1983,6100,5
1,1983,6110,15
1,1983,6130,3
1,1983,6220,1
1,1983,6240,11
1,1983,6280,1
1,1983,6310,22
1,1983,6710,7
1,1983,6730,2
1,1983,6770,9
1,1983,6810,5
1,1983,6830,7
1,1983,6840,9
1,1983,6882,1
1,1983,7030,24
1,1983,7050,3
1,1983,7180,34
1,1983,7310,17
1,1983,7360,1
1,1983,7510,1
1,1983,7550,2
1,1983,7610,3
1,1983,7660,8
1,1984,1440,3
1,1984,2010,13
1,1984,2890,18
1,1984,3160,9
1,1984,3250,1
1,1984,3870,8
1,1984,3940,1
1,1984,4090,4
1,1984,4160,1
1,1984,4440,6
1,1984,4520,7
1,1984,4610,4
1,1984,4770,19
1,1984,4880,11
1,1984,4900,4
1,1984,4930,2
1,1984,4950,2
1,1984,4980,3
1,1984,5010,7
1,1984,5060,17
1,1984,5110,5
1,1984,5600,3
1,1984,5870,16
1,1984,5930,61
1,1984,5970,2
1,1984,5980,14
1,1984,6100,6
1,1984,6110,13
1,1984,6170,1
1,1984,6240,8
1,1984,6280,2
1,1984,6310,25
1,1984,6370,1
1,1984,6390,1
1,1984,6480,1
1,1984,6710,10
1,1984,6770,12
1,1984,6810,9
1,1984,6830,16
1,1984,6840,10
1,1984,7030,27
1,1984,7050,5
1,1984,7180,24
1,1984,7310,12
1,1984,7360,1
1,1984,7550,4
1,1984,7610,6
1,1987,2010,1
1,1987,2890,62
1,1987,3160,30
1,1987,3370,1
1,1987,3870,16
1,1987,3940,3
1,1987,4050,2
1,1987,4060,3
1,1987,4090,19
1,1987,4120,6
1,1987,4160,3
1,1987,4230,9
1,1987,4440,7
1,1987,4520,2
1,1987,4610,5
1,1987,4770,28
1,1987,4880,43
1,1987,4900,5
1,1987,4950,12
1,1987,4980,9
1,1987,5010,28
1,1987,5060,17
1,1987,5110,12
1,1987,5600,1
1,1987,5870,13
1,1987,5930,113
1,1987,5980,36
1,1987,6100,12
1,1987,6110,47
1,1987,6130,12
1,1987,6170,5
1,1987,6240,1
1,1987,6310,15
1,1987,6710,2
1,1987,6770,7
1,1987,6810,9
1,1987,6830,32
1,1987,6840,1
1,1987,7030,57
1,1987,7180,67
1,1987,7290,5
1,1987,7310,19
1,1987,7360,6
1,1987,7510,3
1,1987,7550,8
1,1987,7610,8
1,1987,7660,14
1,1989,2010,5
1,1989,2890,20
1,1989,3160,23
1,1989,3370,1
1,1989,3430,1
1,1989,3870,13
1,1989,3940,9
1,1989,4050,3
1,1989,4060,3
1,1989,4090,8
1,1989,4160,6
1,1989,4230,11
1,1989,4440,8
1,1989,4520,14
1,1989,4560,3
1,1989,4610,13
1,1989,4650,1
1,1989,4770,30
1,1989,4880,29
1,1989,4900,1
1,1989,4950,6
1,1989,4980,10
1,1989,5010,9
1,1989,5060,24
1,1989,5110,2
1,1989,5600,3
1,1989,5870,12
1,1989,5930,71
1,1989,5970,9
1,1989,5980,17
1,1989,6100,13
1,1989,6110,19
1,1989,6130,8
1,1989,6240,6
1,1989,6310,17
1,1989,6360,2
1,1989,6370,1
1,1989,6710,23
1,1989,6730,1
1,1989,6770,4
1,1989,6810,13
1,1989,6830,22
1,1989,6840,4
1,1989,7030,24
1,1989,7050,8
1,1989,7180,42
1,1989,7290,4
1,1989,7310,21
1,1989,7360,7
1,1989,7510,22
1,1989,7550,8
1,1989,7610,11
1,1989,7660,15
1,1990,2010,1
1,1990,2030,2
1,1990,2730,1
1,1990,2890,25
1,1990,3160,25
1,1990,3870,20
1,1990,4060,4
1,1990,4090,6
1,1990,4160,5
1,1990,4230,3
1,1990,4440,1
1,1990,4520,4
1,1990,4610,1
1,1990,4770,19
1,1990,4880,25
1,1990,4900,6
1,1990,4950,5
1,1990,4980,5
1,1990,5010,10
1,1990,5060,19
1,1990,5070,1
1,1990,5110,6
1,1990,5600,4
1,1990,5870,18
1,1990,5930,56
1,1990,5980,13
1,1990,6100,8
1,1990,6110,74
1,1990,6130,6
1,1990,6240,2
1,1990,6310,20
1,1990,6370,1
1,1990,6710,10
1,1990,6770,5
1,1990,6810,9
1,1990,6830,28
1,1990,6882,9
1,1990,7030,27
1,1990,7180,40
1,1990,7290,2
1,1990,7310,3
1,1990,7360,1
1,1990,7510,1
1,1990,7550,10
1,1990,7610,12
1,1990,7660,8
1,1991,1940,3
1,1991,2000,2
1,1991,2010,2
1,1991,2030,1
1,1991,2890,14
1,1991,3160,15
1,1991,3390,5
1,1991,3870,12
1,1991,3940,4
1,1991,4050,1
1,1991,4060,4
1,1991,4090,8
1,1991,4160,9
1,1991,4230,10
1,1991,4280,1
1,1991,4440,8
1,1991,4520,1
1,1991,4560,1
1,1991,4610,10
1,1991,4770,15
1,1991,4880,40
1,1991,4930,9
1,1991,4950,22
1,1991,4980,8
1,1991,5010,7
1,1991,5060,22
1,1991,5110,4
1,1991,5290,1
1,1991,5600,5
1,1991,5630,1
1,1991,5750,1
1,1991,5870,12
1,1991,5930,74
1,1991,5970,6
1,1991,5980,24
1,1991,6010,1
1,1991,6100,18
1,1991,6110,28
1,1991,6130,4
1,1991,6170,2
1,1991,6240,10
1,1991,6310,22
1,1991,6360,1
1,1991,6390,1
1,1991,6710,34
1,1991,6770,10
1,1991,6810,20
1,1991,6830,33
1,1991,7030,35
1,1991,7050,5
1,1991,7180,40
1,1991,7290,3
1,1991,7310,12
1,1991,7360,16
1,1991,7510,16
1,1991,7550,5
1,1991,7610,7
1,1991,7660,19
1,1992,1960,1
1,1992,2010,1
1,1992,2890,13
1,1992,3160,21
1,1992,3250,1
1,1992,3370,1
1,1992,3430,1
1,1992,3870,7
1,1992,3940,1
1,1992,4050,2
1,1992,4060,2
1,1992,4090,7
1,1992,4120,1
1,1992,4160,1
1,1992,4200,1
1,1992,4230,8
1,1992,4280,1
1,1992,4440,1
1,1992,4520,4
1,1992,4560,5
1,1992,4610,14
1,1992,4650,3
1,1992,4770,17
1,1992,4880,31
1,1992,4900,13
1,1992,4930,2
1,1992,4950,9
1,1992,4980,2
1,1992,5010,7
1,1992,5060,6
1,1992,5070,1
1,1992,5110,37
1,1992,5290,10
1,1992,5600,21
1,1992,5630,5
1,1992,5750,1
1,1992,5870,13
1,1992,5930,39
1,1992,5980,30
1,1992,6100,7
1,1992,6110,5
1,1992,6130,39
1,1992,6170,35
1,1992,6240,10
1,1992,6310,19
1,1992,6360,1
1,1992,6710,36
1,1992,6740,1
1,1992,6770,16
1,1992,6810,22
1,1992,6830,13
1,1992,6840,4
1,1992,6882,2
1,1992,7030,17
1,1992,7050,33
1,1992,7180,36
1,1992,7290,5
1,1992,7310,9
1,1992,7360,15
1,1992,7510,10
1,1992,7550,12
1,1992,7610,2
1,1992,7660,28
1,1993,1440,1
1,1993,2010,3
1,1993,2730,2
1,1993,2890,17
1,1993,3160,5
1,1993,3260,1
1,1993,3370,1
1,1993,3870,6
1,1993,3940,5
1,1993,4060,2
1,1993,4090,14
1,1993,4120,2
1,1993,4160,2
1,1993,4230,16
1,1993,4280,1
1,1993,4440,3
1,1993,4520,4
1,1993,4560,4
1,1993,4610,11
1,1993,4650,1
1,1993,4770,33
1,1993,4880,32
1,1993,4900,2
1,1993,4930,5
1,1993,4950,8
1,1993,4980,9
1,1993,5010,7
1,1993,5060,4
1,1993,5070,4
1,1993,5110,28
1,1993,5290,1
1,1993,5600,5
1,1993,5750,2
1,1993,5870,17
1,1993,5930,52
1,1993,5970,2
1,1993,5980,29
1,1993,6100,3
1,1993,6110,17
1,1993,6130,2
1,1993,6240,7
1,1993,6280,5
1,1993,6310,25
1,1993,6360,7
1,1993,6480,1
1,1993,6710,23
1,1993,6760,1
1,1993,6770,4
1,1993,6810,17
1,1993,6830,25
1,1993,6840,4
1,1993,6882,6
1,1993,7030,17
1,1993,7040,1
1,1993,7050,31
1,1993,7180,53
1,1993,7290,2
1,1993,7310,17
1,1993,7360,28
1,1993,7510,30
1,1993,7550,5
1,1993,7610,12
1,1993,7660,18
1,1994,2010,2
1,1994,2730,1
1,1994,2890,10
1,1994,3160,14
1,1994,3250,1
1,1994,3390,3
1,1994,3430,2
1,1994,3870,5
1,1994,3940,5
1,1994,4050,1
1,1994,4060,3
1,1994,4090,12
1,1994,4120,4
1,1994,4230,15
1,1994,4280,3
1,1994,4440,2
1,1994,4520,2
1,1994,4560,1
1,1994,4610,13
1,1994,4650,1
1,1994,4770,17
1,1994,4880,28
1,1994,4900,1
1,1994,4930,4
1,1994,4950,18
1,1994,4980,6
1,1994,5010,3
1,1994,5060,8
1,1994,5070,1
1,1994,5110,14
1,1994,5290,1
1,1994,5600,3
1,1994,5630,1
1,1994,5750,1
1,1994,5870,22
1,1994,5930,56
1,1994,5970,1
1,1994,5980,26
1,1994,6080,1
1,1994,6100,5
1,1994,6110,14
1,1994,6130,1
1,1994,6170,2
1,1994,6240,7
1,1994,6280,1
1,1994,6310,18
1,1994,6360,3
1,1994,6480,1
1,1994,6630,1
1,1994,6710,38
1,1994,6740,4
1,1994,6760,1
1,1994,6770,5
1,1994,6810,27
1,1994,6830,33
1,1994,6840,11
1,1994,6882,2
1,1994,7030,18
1,1994,7040,2
1,1994,7050,9
1,1994,7180,26
1,1994,7270,1
1,1994,7290,6
1,1994,7310,18
1,1994,7360,17
1,1994,7510,14
